order,block,List,condition,sentence,taskQuestion,correctAnswer,trigger,trigger224,trigger225,trigger226,trigger227,trigger228,trigger229,trigger230,trigger231,word_trigger,trigger224w,trigger225w,trigger226w,trigger227w,trigger228w,trigger229w,trigger230w,trigger231w
1,,5,practice,Dis a yuh first practice question.,A did one practice sentence?,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,,5,practice,See one next practice question yah,A did one next practice sentence?,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,,5,practice,Di trick a fi keep yuh head still di entire time.,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,,5,practice,Please nuh try blink during di sentence.,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,,5,practice,Yuh can blink after di sentence and during di question dem!,Yuh can blink during di sentence?,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,,5,practice,Yuh fi try relax as much as possible.,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,,5,practice,Keep yuh eye dem focus pon di box inna di center.,Yuh can look to di side?,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,,5,practice,Try fi keep yuh face relaxed.,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,,5,practice,Tek a moment fi ask any question.,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,,5,practice,Dis a di last example sentence.,Nuh more practice questions ago deh deh?,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,,,,break,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,1,5,WH.control.65,A di documentary bout di war affect di election during di campaign?,,,132,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
13,1,5,BA.target.20,"Wen she did deh a di convention, di actress sign di autographs.",,,34,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1
14,1,5,TF.control.035,Yessideh di expert surgeon treat di captain inna di team lockeroom.,,,72,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
15,1,5,N400.congruent.20.07,John sweep di floor wid a broom.,,,7,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1
16,1,5,BA.target.05,"Wen him did deh a di hanger, di pilot meet di crew.",,,34,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1
17,1,5,TF.topic.020,"Dah palace deh, di talented artist did draw it inna di art contest.",,,66,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
18,1,5,BA.control.50,"Wen mi did deh a di court, di judge punish di criminal.",,,33,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1
19,1,5,WH.wh.05,Wah di email from di accountant criticize after di review?,,,136,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
20,1,5,TF.noun.095,A dah cartoon deh di lazy pitney did watch pan di big television.,,,68,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
21,1,5,BA.control.35,"Wen mi did deh a di hospital, di doctor treat di patient.",A di nurse treat di patients?,7,33,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1
22,1,5,TF.control.050,Yessideh di rushing ooman forget di phone inna di man house.,,,72,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
23,1,5,WH.control.80,A di advice bout di weather surprise di campers during di trip?,,,132,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
24,1,5,TF.verb.080,A help di kind man did help di pitney inna di mosque yard.,,,65,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
25,1,5,WH.wh.20,Who di compliment from di bartender embarrass during di shift?,Was di compliment from di bartender?,9,136,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
26,1,5,N400.incongruent.50.07,She season di steak wid black bags.,,,23,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,1
27,1,5,TF.noun.110,A dah pilot deh di immigration officer did search at di airport checkpoint.,,,68,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
28,1,5,WH.a.35,A wah di inquiry by di mayor assist during di probe?,,,144,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
29,1,5,N400.congruent.05.06,Di mother feed di newborn baby.,,,6,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1
30,1,5,TF.verb.065,A rent di foreign visitors did rent di car from di rental company.,Di visitors rent di car?,9,65,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
31,1,5,N400.incongruent.35.06,Dem raise pig pon dem dream.,,,22,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1
32,1,5,TF.topic.005,"Dah candy deh, di excited bwoy did buy it inna di corner store.",Di bwoy buy di candy a school?,7,66,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
33,1,5,WH.a.50,A who di article by di journalist upset after di publication?,,,144,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
34,,,,break,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,2,5,TF.verb.070,A solve di smart student did solve di exam inna di exam hall.,,,65,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
36,2,5,WH.wh.10,Wah di protest gainst di government interrupt during di session?,,,136,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
37,2,5,N400.congruent.25.07,Dem heat di pool wid solar energy.,,,7,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1
38,2,5,TF.noun.115,A dah sound deh di fearful adventurer did hear inna di haunted house.,,,68,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
39,2,5,WH.wh.25,Who di feedback bout di sale upset after di meeting?,,,136,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
40,2,5,N400.congruent.10.07,Mi like hot fudge wid ice cream.,Yuh like hot fudge wid icecream?,9,7,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1
41,2,5,TF.topic.025,"Dah shake deh, di disciplined athlete did drink it before di football game.",,,66,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
42,2,5,WH.a.40,A wah di poem by di singer win after di reading?,,,144,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
43,2,5,TF.topic.010,"Dah equipment deh, di bribed referee did change it inna di world championship.",,,66,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
44,2,5,WH.control.70,A di performance by di pitney receive di applause during di festival?,,,132,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
45,2,5,N400.incongruent.40.07,Mi order one ham and cheese band.,,,23,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,1
46,2,5,TF.verb.085,A leff di old ooman did leff di son inna di clinic hallway.,,,65,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
47,2,5,WH.control.85,A di excuse bout di grade annoy di student during di lecture?,,,132,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
48,2,5,BA.control.55,"Wen mi did deh a di meeting, di secretary organize di files.",,,33,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1
49,2,5,TF.control.055,Yessideh di event organizer book di singer fi di music festival.,,,72,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
50,2,5,WH.a.55,A who di discovery of di ruins astound during di tour?,Di discovery was bout a shipwreck?,7,144,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
51,2,5,BA.target.10,"Wen him did deh a di port, di sailor prepare di boat.",,,34,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1
52,2,5,N400.incongruent.55.08,"Before him exercise, Jack always stretch him word.",,,24,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1
53,2,5,TF.noun.100,A dah executive deh di junior employee did admire from di company workshop.,Di junior employee did hate di executive?,7,68,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
54,2,5,BA.control.40,"Wen mi did deh a di prison, di guard fight di inmates.",,,33,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1
55,2,5,TF.control.040,Yessideh di hardworking student complete di exam inna di school library.,Di student complete di exam?,9,72,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
56,2,5,BA.target.25,"Wen she did deh a di meeting, di secretary write di notes.",,,34,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1
57,,,,break,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,3,5,TF.noun.102,A dah fren deh di mischievous teenager did fight inna di side alley.,Di teenager did fight har bredda?,7,68,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
59,3,5,WH.wh.27,Who di information bout di stocks deceive before di decision?,,,136,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
60,3,5,N400.congruent.27.08,Di organist play along wid di church choir.,,,8,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
61,3,5,TF.control.042,Yessideh di excited fan meet di footballer inna di backstage area.,Di footballer meet di fan backstage?,9,72,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
62,3,5,WH.a.42,A wah di protest by di workers challenge after di announcement?,,,144,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
63,3,5,N400.incongruent.42.07,New York a one very busy cream.,,,23,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,1
